installed_apps,to_be_removed,deleted_apps,disabled_apps,failed_to_clean
com.android.overlay.gmstelecomm,com.google.android.onetimeinitializer,com.google.android.overlay.gmsconfig.asi,,
com.android.overlay.gmstelephony,com.google.android.overlay.gmsconfig.asi,com.google.android.overlay.modules.captiveportallogin.forframework,,
com.android.overlay.systemui,com.google.android.overlay.modules.captiveportallogin.forframework,com.google.android.overlay.modules.permissioncontroller,,
com.android.pacprocessor,com.google.android.overlay.modules.permissioncontroller,com.google.android.projection.gearhead,,
com.android.phone,com.google.android.projection.gearhead,com.google.android.tts,,
com.android.phone.auto_generated_characteristics_rro,com.google.android.tts,com.google.android.videos,,
com.android.phone.cust.overlay.miui,com.google.android.videos,com.google.android.youtube,,
com.android.phone.overlay.miui,com.google.android.youtube,com.google.mainline.adservices,,
com.android.printspooler,com.google.mainline.adservices,com.jewelsblast.ivygames.Adventure.free,,
com.android.providers.blockednumber,com.jewelsblast.ivygames.Adventure.free,com.linkedin.android,,
com.android.providers.calendar,com.linkedin.android,com.logame.eliminateintruder3d,,
com.android.providers.contactkeys,com.logame.eliminateintruder3d,com.mediatek.atmwifimeta,,
com.android.providers.contacts,com.mediatek.atmwifimeta,com.mediatek.engineermode,,
com.android.providers.downloads,com.mediatek.engineermode,com.mediatek.gbaservice,,
com.android.providers.downloads.ui,com.mediatek.gbaservice,com.mediatek.lbs.em2.ui,,
com.android.providers.media,com.mediatek.lbs.em2.ui,com.mediatek.location.mtkgeofence,,
com.android.providers.partnerbookmarks,com.mediatek.location.mtkgeofence,com.mediatek.mdmconfig,,
com.android.providers.settings,com.mediatek.mdmconfig,com.mediatek.mdmlsample,,
com.android.providers.settings.overlay,com.mediatek.mdmlsample,com.mediatek.MtkSettingsResOverlay,,
com.android.providers.telephony,com.mediatek.MtkSettingsResOverlay,com.mediatek.SettingsProviderResOverlay,,
com.android.providers.telephony.auto_generated_characteristics_rro,com.mediatek.SettingsProviderResOverlay,com.mediatek.voicecommand,,
com.android.providers.telephony.overlay.miui,com.mediatek.voicecommand,com.mediatek.voiceunlock,,
com.android.providers.userdictionary,com.mediatek.voiceunlock,com.mediatek.ygps,,
com.android.provision,com.mediatek.ygps,com.mi.android.globalFileexplorer,,
com.android.proxyhandler,com.mi.android.globalFileexplorer,com.mi.appfinder,,
com.android.role.notes.enabled,com.mi.appfinder,com.mi.global.pocobbs,,
com.android.se,com.mi.global.pocobbs,com.mi.global.shop,,
com.android.se.resources.overlay,com.mi.global.shop,com.mi.globalbrowser,,
com.android.server.telecom,com.mi.globalbrowser,com.mi.globalminusscreen,,
com.android.server.telecom.overlay.miui,com.mi.globalminusscreen,com.mi.healthglobal,,
com.android.settings,com.mi.healthglobal,com.microsoft.appmanager,,
